apt_id,name,address,city,zip,units,year_built,owner,parcels,cad_prop_ids,cad_use_code,website,website_confidence,software,signal,proof_url,checked_at,unknown_reason
2672946,Park At Gateway Apartments,355 Vistaglen Dr,Plano,75074,255,2016,BELL VALUE-ADD FUND VIII GATEWAY LP,1,2672946,MFU,https://reviews.birdeye.com/park-at-gateway-156779284284034,high,unknown,none,,2026-09-10,no-portal-link
2672945,Bell Gateway Village,350 Vista Court Dr,Plano,75074,254,2012,BELL VALUE-ADD FUND VIII GATEWAY LP,1,2672945,MFU,https://www.bellgatewayvillage.com/,high,Yardi,portal,https://bellgatewayvillage.securecafe.com/onlineleasing/bell-gateway-village/guestlogin.aspx?ssid=c8258fe116883379615dfa8480b78d04,2026-09-10,
2544000,Bel Air Downtown,1404 Vontress St,Plano,75074,253,2001,BEL AIR MULTI 50 LLC &,2,2544000;2544001,MFU,https://www.belairdowntown.com/,high,Yardi,portal,https://belairdowntown.securecafenet.com/residentservices/bel-air-downtown/userlogin?dropdownlangid=999,2026-09-10,
1935918,Villas At Chase Oaks Apartments,600 Legacy Dr,Plano,75023,250,1986,WWC CHASE OAKS LP,1,1935918,MFU,https://www.villasatchaseoaks.com/,high,Entrata,portal,https://villasatchaseoakscaf.residentportal.com/auth,2026-09-10,
2556799,Evergreen At Plano Apts Senior Chodo,600 Independence Pkwy,Plano,75075,250,2004,PWA-PLANO INDEPENDENCE SENIOR COMMUNITY LP,1,2556799,MFUSU,https://evergreenplano.com/,high,Yardi,portal,https://www.rentcafe.com/residentservices/evergreen-at-plano/userlogin.aspx,2026-09-10,
2595347,Kia Ora Park Apartments,9300 Coit Rd,Plano,75025,250,2006,EQR-KIA ORA PARK LP,1,2595347,MFU,,none,unknown,none,,,no-website
2122987,Link At Plano,1013 15Th Pl,Plano,75074,245,2000,COVEY PLANO LP,2,2122987;2122988,MFU-IMPO,https://linkatplano.com/,high,RealPage,portal,https://9251208.onlineleasing.realpage.com/?OLL-source-attribution=Property%20Website,2026-09-10,
1623283,Legacy Apartments,6909 Custer Rd,Plano,75023,244,1984,CORNERSTONE LEGACY LP,1,1623283,MFU,https://legacy.anterra.com/,high,Yardi,portal,https://legacy-anterra.securecafenet.com/residentservices/legacy-0/userlogin,2026-09-10,
1972919,Old Shepard Place Apartments,1520 Preston Rd,Plano,75093,244,1990,PROPERTY RESERVE INC,1,1972919,MFU,,none,unknown,none,,,no-website
2031654,Garden Gate Apartments Chodo,1201 Legacy Dr,Plano,75023,240,1994,GARDEN GATE PL ACQUISITION LP,1,2031654,MFUSU,https://www.gardengateapartmentsplano.com/,high,RealPage,portal,https://gardengateplano.activebuilding.com/login,2026-09-10,
2031655,Camden Legacy Creek Apartments,6400 Ohio Dr,Plano,75024,240,1994,CAMDEN OPERATING LP,1,2031655,MFU,https://www.camdenliving.com/apartments/plano-tx/camden-legacy-creek,high,in-house:Camden,portal,https://www.mycamden.com/,2026-09-10,
2084397,Point At Deerfield Apartments,4640 Hedgcoxe Rd,Plano,75024,240,1998,PASKIN PROPERTIES - 4640 HEDGECOXE LLC &,1,2084397,MFU,https://www.thepointatdeerfield.com/,high,Yardi,portal,https://thepointatdeerfield.securecafe.com/onlineleasing/the-point-at-deerfield-apartments/guestlogin.aspx,2026-09-10,
