apt_id,name,address,city,zip,units,year_built,owner,parcels,cad_prop_ids,cad_use_code
148646,Alta Vista Apartments,700 18Th St,Plano,75074,133,1962,ALTA VISTA APARTMENTS & TJFL LEGACY LP,1,148646,MFU
2107892,Langdon At Spring Creek,6501 Independence Pkwy,Plano,75023,124,1999,NEVADA VI GD LLC,1,2107892,MFU
2572901,Mcdermott Crossing,8400 Angels Dr,Plano,75024,123,2011,PECAN PUBLIC FACILITY CORPORATION,1,2572901,MFUSE
2721330,Horizon At Premier,3409 Premier Dr,Plano,75023,122,2016,STARBOARD PREMIER DST,1,2721330,BTR
2069471,Solstice Senior Living,1940 W Spring Creek Pkwy,Plano,75023,115,1999,WINTERFELL COTTONWOOD (TX) OWNER LLC,1,2069471,MFUSE
2122988,Bel Air K Station,1013 15Th Pl,Plano,75074,103,2000,COVEY PLANO LP,1,2122988,MFU-IMPO
2873533,Gala At Premier Senior Tc,2425 Premier Dr,Plano,75075,97,2021,GALA AT PREMIER LP,1,2873533,MFUSU
148655,Villas Apartments,659 E 16Th St,Plano,75074,96,1971,VDS EAT LLC,1,148655,MFU
2683019,Tuscany Villas At Chase Oaks Senior Chodo,7112 Chase Oaks Blvd,Plano,75025,90,2011,UHF TUSCANY VILLAS HOUSING LP,1,2683019,MFUSU
2803398,Amber Vista Apartments,1901 E 15Th St,Plano,75074,88,1970,TTEP AMBER VISTA LLC,1,2803398,MFU
13310,Shiloh Park,3500 E Park Blvd,Plano,75074,73,1999,SHILOH PARK TOWNHOMES LLC,1,13310,MFU
1524318,Cobblestone Condos,3140 Devonshire Dr 248,Plano,75075,71,1984,COBBLESTONE CONDOS 71 LP,1,1524318,MFU
1808832,Aspen Court Apartments,1600 Amelia Ct,Plano,75075,70,1985,AMELIA 77 LLC,1,1808832,MFU
2567179,Acqua At Legacy Village Apartments,5760 Daniel Rd,Plano,75024,64,2006,UDR LEGACY VILLAGE LLC,1,2567179,MFU
769,Villas Del Sol I & Ii Apartments,1809 G Ave,Plano,75074,60,1950,VDS EAT LLC,1,769,MFU
2856761,@ 15Th St Apartments,1200 E 15Th St,Plano,75074,52,2020,2016 OLD TOWN PLANO EAST LTD,1,2856761,MFU
2986934,Ridgeview Park Townhomes,3520 Maxwell Dr,Plano,75025,48,2006,MFREVF V - PLANO LP,1,2986934,MFU
354556,Pleasant Park Apartments,2301 K Ave,Plano,75074,32,1962,PLEASANT PARK APTS LLC,1,354556,MFU
180271,Courtyard Apartments,1600 E 15Th St,Plano,75074,28,1960,HIH COURTYARD LLC,1,180271,MFU
1764969,Silverwood Village Townhomes,1842 Silverwood Ln,Plano,75075,28,1986,SILVERWOOD TOWNHOUSES INC,1,1764969,MFU
163325,Belleview West Apartments,1403 15Th Pl,Plano,75074,24,1967,BELLEVIEW PLACE LLC,1,163325,MFU
2820598,Touraine Apartments,1514 E 15Th St,Plano,75074,24,2019,BLESSINGS HOME LLC,1,2820598,MFU
84143,Grindstone Ii Apartments,1604 L Ave,Plano,75074,22,1968,OHIO PLAZA LLC,1,84143,MFU
163334,Belleview East Apartments,1407 15Th Pl,Plano,75074,21,1972,BELLEVIEW PLACE LLC,1,163334,MFU
84125,Magnolia On 16Th,1201 E 16Th St,Plano,75074,20,1965,OHIO PLAZA LLC,1,84125,MFU
1571819,Texas Star Apartments,1504 E 15Th St,Plano,75074,20,1983,CY TOWNHOMES LLC,1,1571819,MFU
2039505,Marquis At Waterview Apartments,800 W Renner Rd,Richardson,75080,528,1996,WATERVIEW MARQUIS LP &,1,2039505,MFU
2751130,Reserve At Spring Creek Apartments,2710 Routh Creek Pkwy,Richardson,75082,458,2017,JDFW (RESERVE) LLC,1,2751130,MFU
2117157,Clearwater Creek Apartments,4000 E Renner Rd,Richardson,75082,442,2000,SOUTHWEST CLEARWATER CREEK PARTNERS LP,2,2117157;2117158,MFU
2748103,Vantage At Spring Creek,2810 Routh Creek Pkwy,Richardson,75082,420,2017,TREA ROUTH CREEK TX OWNER LP,1,2748103,MFU
2770320,James At Canyon Creek,850 Greenside Dr,Richardson,75080,415,2018,CF JAMES MULTIFAMILY DST,1,2770320,MFU
2018601,Homes Of Prairie Springs Apartments,280 W Renner Rd,Richardson,75080,408,1995,OTR,1,2018601,MFU
2832628,Northside Phase 4,800 Cecil Dr,Richardson,75080,387,2020,NORTHSIDE CAMPUS PARTNERS 4,1,2832628,MFU-IMPO
2645564,Pradera Apartments,851 Greenside Dr,Richardson,75080,360,2008,PBONE PRADERA LLC,1,2645564,MFU
2696110,Estates Of Richardson,905 W President George Bush Hwy,Richardson,75080,360,2013,FRANKEL FAMILY TRUST,1,2696110,MFU
2726690,Sync Cityline,120 W Cityline Dr,Richardson,75082,354,2016,SYNC CITYLINE LP,1,2726690,MFU
2721394,Axis 110,110 W Cityline Dr,Richardson,75082,351,2015,AREIT DALLAS CITYLINE LLC,1,2721394,MFU
2725292,Lofts At Palisades,2525 Empire Dr,Richardson,75080,343,2016,LOFTS AT PALISADES LLC,1,2725292,MFU
2758568,Northside I,3000 Northside Blvd,Richardson,75080,313,2016,NORTHSIDE CAMPUS PARTNERS LP,1,2758568,MFU-IMPO
