situscity,dbaname,situsconcatshort,imprvunits,imprvyearbuilt,ownername,parcels,software,proof
PLANO,POST LEGACY APARTMENTS,5721 HENRY COOK BLVD,171,1999,MAA WWARRS LLC,1,,
PLANO,OVERTURE PLANO SENIOR APARTMENTS,500 COIT RD,168,2015,DHC HYB SLC PROPERTIES LLC,1,,
PLANO,THE CALVIN,2501 OHIO DR,167,1995,RC CALVIN LLC,1,,
PLANO,INSTRATA AT LEGACY WEST,7850 COMMUNICATIONS PKWY,161,2019,LW OWNER 2 LLC,1,,
PLANO,PRESERVE AT PRESTON,2525 OHIO DR,160,1985,HOP BORROWER LLC,1,,
PLANO,LYDIAN APARTMENTS,2821 TOWNBLUFF DR,160,1976,TOWNBLUFF RES LLC,1,,
PLANO,PARK SPRINGS TOWNHOMES APARTMENTS,900 S MEDALIST CIR,148,1985,PARK SPRINGS TEXAS LLC,1,,
PLANO,NOVUM INDEPENDENT LIVING,8120 PRESTON RD,147,2024,PLANO OWNER LLC,1,,
PLANO,BRIDGE AT HERITAGE CREEKSIDE,1550 W PLANO PKWY,146,2015,BRIDGE AT HERITAGE CREEKSIDE I LLC THE,1,RealPage,https://7613495.onlineleasing.realpage.com/
PLANO,CHISHOLM PLACE APARTMENTS,1001 W PARK BLVD,142,1981,1001 CHISHOLM LLC,1,,
PLANO,LINK AT PLANO,1013 15TH PL,142,2000,COVEY PLANO LP,1,,
PLANO,HIGHPOINT TOWNHOMES,6500 E MEDALIST CIR,140,1985,URBAN HIGH POINT LP,1,,
PLANO,WINDSOR PLACE APTS,3535 14TH ST,140,1983,WINDSOR PLACE EQUITY ENTERPRISES LLC,1,,
PLANO,PLANO PARK TOWNHOMES,2253 ASHLEY PARK DR,140,1985,ASHLEY PARK TOWNHOMES LLC,1,,
PLANO,PATRIOT PARK APARTMENTS CHODO,701 13TH 14TH CONNECTOR,139,2019,PLANO FAMILY 001 LP,1,,
PLANO,WATERFORD AT PLANO A SENIOR APARTMENTS,3401 PREMIER DR,136,1999,TRIAD SENIOR LIVING II LP,1,,
PLANO,TWIN RIVERS AT COLLIN CREEK SENIOR LIVING,1717 ALMA DR,136,2021,TWIN RIVERS AT COLLIN CREEK LTD,1,,
PLANO,VILLAS OF MISSION BEND SENIOR APARTMENTS TC,1201 MEDICAL AVE,135,1999,M N PLANO LTD,1,,
PLANO,ALTA VISTA APARTMENTS,700 18TH ST,133,1962,ALTA VISTA APARTMENTS & TJFL LEGACY LP,1,,
PLANO,LANGDON AT SPRING CREEK,6501 INDEPENDENCE PKWY,124,1999,NEVADA VI GD LLC,1,,
PLANO,HORIZON AT PREMIER,3409 PREMIER DR,122,2016,STARBOARD PREMIER DST,1,Yardi,https://tours-horizonatpremier.securecafe.com/residentservices/avilla-premier0/userlogin.aspx
PLANO,SOLSTICE SENIOR LIVING,1940 W SPRING CREEK PKWY,115,1999,WINTERFELL COTTONWOOD (TX) OWNER LLC,1,,
PLANO,BEL AIR K STATION,1013 15TH PL,103,2000,COVEY PLANO LP,1,,
PLANO,GALA AT PREMIER SENIOR TC,2425 PREMIER DR,97,2021,GALA AT PREMIER LP,1,,
PLANO,VILLAS APARTMENTS,659 E 16TH ST,96,1971,VDS EAT LLC,1,,
PLANO,TUSCANY VILLAS AT CHASE OAKS SENIOR CHODO,7112 CHASE OAKS BLVD,90,2011,UHF TUSCANY VILLAS HOUSING LP,1,,
PLANO,AMBER VISTA APARTMENTS,1901 E 15TH ST,88,1970,TTEP AMBER VISTA LLC,1,,
PLANO,SHILOH PARK,3500 E PARK BLVD,73,1999,SHILOH PARK TOWNHOMES LLC,1,,
PLANO,COBBLESTONE CONDOS,3140 DEVONSHIRE DR 248,71,1984,COBBLESTONE CONDOS 71 LP,1,,
PLANO,ASPEN COURT APARTMENTS,1600 AMELIA CT,70,1985,AMELIA 77 LLC,1,,
PLANO,ACQUA AT LEGACY VILLAGE APARTMENTS,5760 DANIEL RD,64,2006,UDR LEGACY VILLAGE LLC,1,,
PLANO,VILLAS DEL SOL I & II APARTMENTS,1809 G AVE,60,1950,VDS EAT LLC,1,,
PLANO,@ 15TH ST APARTMENTS,1200 E 15TH ST,52,2020,2016 OLD TOWN PLANO EAST LTD,1,,
PLANO,RIDGEVIEW PARK TOWNHOMES,3520 MAXWELL DR,48,2006,MFREVF V - PLANO LP,1,,
PLANO,PLEASANT PARK APARTMENTS,2301 K AVE,32,1962,PLEASANT PARK APTS LLC,1,,
PLANO,SILVERWOOD VILLAGE TOWNHOMES,1842 SILVERWOOD LN,28,1986,SILVERWOOD TOWNHOUSES INC,1,,
PLANO,COURTYARD APARTMENTS,1600 E 15TH ST,28,1960,HIH COURTYARD LLC,1,,
PLANO,BELLEVIEW WEST APARTMENTS,1403 15TH PL,24,1967,BELLEVIEW PLACE LLC,1,,
PLANO,TOURAINE APARTMENTS,1514 E 15TH ST,24,2019,BLESSINGS HOME LLC,1,,
PLANO,GRINDSTONE II APARTMENTS,1604 L AVE,22,1968,OHIO PLAZA LLC,1,,
PLANO,BELLEVIEW EAST APARTMENTS,1407 15TH PL,21,1972,BELLEVIEW PLACE LLC,1,,
PLANO,TEXAS STAR APARTMENTS,1504 E 15TH ST,20,1983,CY TOWNHOMES LLC,1,,
PLANO,MAGNOLIA ON 16TH,1201 E 16TH ST,20,1965,OHIO PLAZA LLC,1,,
RICHARDSON,MARQUIS AT WATERVIEW APARTMENTS,800 W RENNER RD,528,1996,WATERVIEW MARQUIS LP &,1,Yardi,https://marquiswaterview.securecafe.com/residentservices/marquis-at-waterview/userlogin.aspx
RICHARDSON,RESERVE AT SPRING CREEK APARTMENTS,2710 ROUTH CREEK PKWY,458,2017,JDFW (RESERVE) LLC,1,Yardi,https://liveatreserve.securecafenet.com/residentservices/reserve-at-spring-creek-apartments/userlogin
RICHARDSON,CLEARWATER CREEK APARTMENTS,4000 E RENNER RD,442,2000,SOUTHWEST CLEARWATER CREEK PARTNERS LP,2,,
RICHARDSON,VANTAGE AT SPRING CREEK,2810 ROUTH CREEK PKWY,420,2017,TREA ROUTH CREEK TX OWNER LP,1,,
RICHARDSON,JAMES AT CANYON CREEK,850 GREENSIDE DR,415,2018,CF JAMES MULTIFAMILY DST,1,Yardi,https://thejamesatcanyoncreek.securecafenet.com/residentservices/cortland-canyon-creek/userlogin
RICHARDSON,HOMES OF PRAIRIE SPRINGS APARTMENTS,280 W RENNER RD,408,1995,OTR,1,,
RICHARDSON,NORTHSIDE PHASE 4,800 CECIL DR,387,2020,NORTHSIDE CAMPUS PARTNERS 4,1,,
RICHARDSON,PRADERA APARTMENTS,851 GREENSIDE DR,360,2008,PBONE PRADERA LLC,1,Yardi,https://thepradera.securecafe.com/onlineleasing/the-pradera-0/guestlogin.aspx
RICHARDSON,ESTATES OF RICHARDSON,905 W PRESIDENT GEORGE BUSH HWY,360,2013,FRANKEL FAMILY TRUST,1,RealPage,https://property.onesite.realpage.com/welcomehome?siteId=3835684#url=%23login
RICHARDSON,SYNC CITYLINE,120 W CITYLINE DR,354,2016,SYNC CITYLINE LP,1,,
RICHARDSON,AXIS 110,110 W CITYLINE DR,351,2015,AREIT DALLAS CITYLINE LLC,1,Yardi,https://axis110.securecafe.com/residentservices/axis-1100/userlogin.aspx?ssid=6e9a3d3d8b7d53cd6a7eea3a2899ef89
RICHARDSON,LOFTS AT PALISADES,2525 EMPIRE DR,343,2016,LOFTS AT PALISADES LLC,1,,
RICHARDSON,NORTHSIDE I,3000 NORTHSIDE BLVD,313,2016,NORTHSIDE CAMPUS PARTNERS LP,1,,
RICHARDSON,REGISTER APARTMENTS,3520 WILSHIRE WAY,306,2019,REGISTER RICHARDSON LLC THE,1,Yardi,https://theregisterapts.securecafenet.com/residentservices/the-register1/userlogin
RICHARDSON,WINDSOR CITYLINE,1250 HUNT ST,299,2015,IMP CITYLINE LLC,1,,
RICHARDSON,STANDARD AT CITYLINE APARTMENTS PH 1,1125 E RENNER RD,276,2014,PRICE STANDARD AT CITYLINE LP,1,,
RICHARDSON,NORTHSIDE PHASE 2,3100 NORTHSIDE BLVD,275,2017,NORTHSIDE CAMPUS PARTNERS 2 LP,1,,
RICHARDSON,THE RILEY,3551 WILSHIRE WAY 1,269,2016,GARLAND HOUSING FINANCE CORPORATION,1,,
RICHARDSON,NORTHSIDE PHASE 3,750 SYNERGY PARK BLVD,246,2019,NORTHSIDE CAMPUS PARTNERS 3 LP,1,,
RICHARDSON,CANTERBURY COURTS APARTMENTS,2600 E RENNER RD,240,1992,D CANTERBURY LLC,1,,
RICHARDSON,LYLA APARTMENTS,3521 WILSHIRE WAY,237,2016,LYLA OWNER LLC,1,,
RICHARDSON,BELL CITYLINE,1230 E CITYLINE DR,236,2017,BCF I CITYLINE LLC,1,,
RICHARDSON,CORTLAND PRAIRIE CREEK APARTMENTS,3560 ALMA RD,236,1996,PRAIRIE CREEK APTS LLC,1,,
RICHARDSON,ANTHEM CITYLINE,1250 STATE ST,233,2014,ANTHEM AT CITYLINE/PT-SPE LLC,1,RealPage,https://anthematcityline.activebuilding.com/login
RICHARDSON,FLATS AT PALISADES,2625 EMPIRE DR,232,2016,FLATS AT PALISADES LLC,1,,
RICHARDSON,CORTLAND PRAIRIE CREEK VILLAS II APARTMENTS,3560 ALMA RD,228,1998,PRAIRIE CREEK APTS LLC,1,,
RICHARDSON,BRECKINRIDGE POINT APARTMENTS,4250 E RENNER RD,226,1998,BRECKINRIDGE POINT TX LLC,1,,
RICHARDSON,BRECKENRIDGE POINT APARTMENTS,3500 NORTH STAR RD,214,1998,BRECKINRIDGE POINT TX LLC,1,,
RICHARDSON,CITYLINE PARK,1130 E CITYLINE DR,199,2017,BCF I CITYLINE LLC,1,,
RICHARDSON,EVERGREEN AT RICHARDSON SENIOR CHODO,3551 NORTH STAR RD,170,2011,EVERGREEN RICHARDSON SENIOR COMMUNITY LP,1,,
RICHARDSON,CREEKSIDE TOWNHOMES,3650 CUSTER PKWY,162,2012,CUSTER CREEKSIDE LLC,1,,
RICHARDSON,VILLAGES AT CLEAR SPRINGS APARTMENTS,2600 CLEAR SPRINGS DR,160,1997,VILLAGES RESIDENCES LP,1,,
RICHARDSON,ROYAL ARMS APARTMENTS,2811 CUSTER PKWY,129,1970,ROLLING CASH ROYAL ARMS LP,1,,
RICHARDSON,STANDARD AT CITYLINE  APARTMENTS PH 2,1225 E RENNER RD,127,2013,PRICE STANDARD AT CITYLINE LP,1,,
RICHARDSON,FOUNDATION AT CITYLINE APARTMENTS,601 W RENNER RD,88,1979,FOUNDATION APARTMENTS WAGERMAN LLC &,1,,
RICHARDSON,YORKSHIRE APARTMENT HOMES,3601 SHIRE BLVD,56,2013,MIYAMA USA DUCK CREEK INC,1,,
