propid,dbaname,situsconcatshort,situscity,situszip,ownername,imprvunits,imprvyearbuilt,propusecode
287594,LEIGHTON APARTMENTS,1717 INDEPENDENCE PKWY,PLANO,75075,INDEPENDENCE RES LLC,88,1978,MFU
2803398,AMBER VISTA APARTMENTS,1901 E 15TH ST,PLANO,75074,TTEP AMBER VISTA LLC,88,1970,MFU
2006888,COLONNADE AT WILLOW BEND APARTMENTS,1101 MEREDITH LN,PLANO,75093,1100 MEREDITH LANE INC,74,1993,MFU
13310,SHILOH PARK,3500 E PARK BLVD,PLANO,75074,SHILOH PARK TOWNHOMES LLC,73,1999,MFU
2544026,LEGACY VILLAGE APTS PHASE II,5701 SCRUGGS WAY,PLANO,75024,UDR LEGACY VILLAGE LLC,72,2004,MFU
1524318,COBBLESTONE CONDOS,3140 DEVONSHIRE DR 248,PLANO,75075,COBBLESTONE CONDOS 71 LP,71,1984,MFU
1808832,ASPEN COURT APARTMENTS,1600 AMELIA CT,PLANO,75075,AMELIA 77 LLC,70,1985,MFU
2567181,LEGACY VILLAGE IV. BUILDING F,6901 HANSELL RD,PLANO,75024,UDR LEGACY VILLAGE LLC,66,2006,MFU
2567179,ACQUA AT LEGACY VILLAGE APARTMENTS,5760 DANIEL RD,PLANO,75024,UDR LEGACY VILLAGE LLC,64,2006,MFU
2544000,BEL AIR DOWNTOWN,1404 VONTRESS ST,PLANO,75074,BEL AIR MULTI 50 LLC &,63,2001,MFU
769,VILLAS DEL SOL I & II APARTMENTS,1809 G AVE,PLANO,75074,VDS EAT LLC,60,1950,MFU
2929403,THE BEACON,4100 FAITH LN,PLANO,75075,BEACON SQUARE ASSOCIATION INC,56,2022,MFU
2856761,@ 15TH ST APARTMENTS,1200 E 15TH ST,PLANO,75074,2016 OLD TOWN PLANO EAST LTD,52,2020,MFU
2986934,RIDGEVIEW PARK TOWNHOMES,3520 MAXWELL DR,PLANO,75025,MFREVF V - PLANO LP,48,2006,MFU
2802246,MORADA PLANO APARTMENTS,1001 14TH ST,PLANO,75074,TIMBERS PLANO PARTNERS LLC - ETAL,42,2017,MFU
354556,PLEASANT PARK APARTMENTS,2301 K AVE,PLANO,75074,PLEASANT PARK APTS LLC,32,1962,MFU
2945425,PARK RESIDENCES PLANO,PARK VISTA RD,PLANO,75094,PARK RESIDENCES PLANO EAST LLC,30,2019,MFUSE
1764969,SILVERWOOD VILLAGE TOWNHOMES,1842 SILVERWOOD LN,PLANO,75075,SILVERWOOD TOWNHOUSES INC,28,1986,MFU
180271,COURTYARD APARTMENTS,1600 E 15TH ST,PLANO,75074,HIH COURTYARD LLC,28,1960,MFU
2632842,NORTHSIDE AT LEGACY II APTS,5820 LEGACY CIR,PLANO,75024,5765 BOZEMAN (TX) OWNER LP,28,2008,MFU
2557312,LEGACY VILLAGE APTS PHASE II,5720 SCRUGGS WAY,PLANO,75024,UDR LEGACY VILLAGE LLC,25,2004,MFU
287601,LEIGHTON APARTMENTS,1717 INDEPENDENCE PKWY,PLANO,75075,INDEPENDENCE RES LLC,24,1978,MFU
163325,BELLEVIEW WEST APARTMENTS,1403 15TH PL,PLANO,75074,BELLEVIEW PLACE LLC,24,1967,MFU
2820598,TOURAINE APARTMENTS,1514 E 15TH ST,PLANO,75074,BLESSINGS HOME LLC,24,2019,MFU
84143,GRINDSTONE II APARTMENTS,1604 L AVE,PLANO,75074,OHIO PLAZA LLC,22,1968,MFU
163334,BELLEVIEW EAST APARTMENTS,1407 15TH PL,PLANO,75074,BELLEVIEW PLACE LLC,21,1972,MFU
1571819,TEXAS STAR APARTMENTS,1504 E 15TH ST,PLANO,75074,CY TOWNHOMES LLC,20,1983,MFU
84125,MAGNOLIA ON 16TH,1201 E 16TH ST,PLANO,75074,OHIO PLAZA LLC,20,1965,MFU
2039505,MARQUIS AT WATERVIEW APARTMENTS,800 W RENNER RD,RICHARDSON,75080,WATERVIEW MARQUIS LP &,528,1996,MFU
2751130,RESERVE AT SPRING CREEK APARTMENTS,2710 ROUTH CREEK PKWY,RICHARDSON,75082,JDFW (RESERVE) LLC,458,2017,MFU
2748103,VANTAGE AT SPRING CREEK,2810 ROUTH CREEK PKWY,RICHARDSON,75082,TREA ROUTH CREEK TX OWNER LP,420,2017,MFU
2770320,JAMES AT CANYON CREEK,850 GREENSIDE DR,RICHARDSON,75080,CF JAMES MULTIFAMILY DST,415,2018,MFU
2018601,HOMES OF PRAIRIE SPRINGS APARTMENTS,280 W RENNER RD,RICHARDSON,75080,OTR,408,1995,MFU
2832628,NORTHSIDE PHASE 4,800 CECIL DR,RICHARDSON,75080,NORTHSIDE CAMPUS PARTNERS 4,387,2020,MFU-IMPO
2645564,PRADERA APARTMENTS,851 GREENSIDE DR,RICHARDSON,75080,PBONE PRADERA LLC,360,2008,MFU
2696110,ESTATES OF RICHARDSON,905 W PRESIDENT GEORGE BUSH HWY,RICHARDSON,75080,FRANKEL FAMILY TRUST,360,2013,MFU
2726690,SYNC CITYLINE,120 W CITYLINE DR,RICHARDSON,75082,SYNC CITYLINE LP,354,2016,MFU
2721394,AXIS 110,110 W CITYLINE DR,RICHARDSON,75082,AREIT DALLAS CITYLINE LLC,351,2015,MFU
2725292,LOFTS AT PALISADES,2525 EMPIRE DR,RICHARDSON,75080,LOFTS AT PALISADES LLC,343,2016,MFU
